descriptor,VIP,VIP_ge_1
nF12Ring,0.7589145789260154,False
nFG12Ring,0.759075203119355,False
nTRing,0.8796086864641304,False
nT4Ring,0.3342605278634618,False
nT5Ring,0.9763829901588302,False
nT6Ring,1.6622668400787701,True
nT7Ring,0.9477941849599156,False
nT8Ring,0.6035833202203663,False
nT9Ring,0.7755133818272653,False
nT10Ring,0.8280488796120106,False
nT11Ring,0.8672273277104736,False
nT12Ring,0.7682511539815866,False
nTG12Ring,0.7498542698408571,False
nRotB,0.9442463615213383,False
LipinskiFailures,0.6519087101703023,False
TopoPSA,1.0040155334046745,True
VABC,1.3730192564991077,True
VAdjMat,1.4793218826550132,True
MW,1.291979873884447,True
WTPT-1,1.4100519277648336,True
WTPT-2,1.09184570672739,True
WTPT-3,1.021274839584346,True
WTPT-4,0.8382087209355806,False
WTPT-5,1.189931641037157,True
WPATH,0.8608987616686545,False
WPOL,1.4081660002014653,True
XLogP,1.2455908174359929,True
Zagreb,1.4272259534974456,True
