descriptor,mean_standardised_value_high_residual,mean_standardised_value_other,mean_difference_high_minus_other,abs_mean_difference,descriptor_category,descriptor_numeric_type,candidate_super_block,is_near_constant,is_rare_binary_like,dominant_value_ratio,VIP,VIP_ge_1,coefficient_standardised_X,abs_coefficient_standardised_X
minaaN,-0.29292829640176493,0.015466614050013042,-0.30839491045177797,0.30839491045177797,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.7583586626139818,1.2483416520748545,True,0.0667755872830568,0.0667755872830568
MDEC-33,0.2915193193249166,-0.015392220060355623,0.3069115393852722,0.3069115393852722,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0167173252279635,1.0226712745966933,True,-0.0044150143677782,0.0044150143677782
nC,0.28920703550733856,-0.0152701314747873,0.30447716698212585,0.30447716698212585,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0825734549138804,1.6512180909222172,True,0.016918044144624,0.016918044144624
nBondsS2,0.2891236274166122,-0.015265727527597103,0.30438935494420927,0.30438935494420927,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0440729483282674,1.2784930863657742,True,-0.0064408304493896,0.0064408304493896
maxaaN,-0.2887845970081244,0.015247826722029012,-0.30403242373015343,0.30403242373015343,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.7583586626139818,1.2598569727137905,True,0.0467311808139208,0.0467311808139208
ETA_Shape_P,0.2886937792349077,-0.015243031543603229,0.3039368107785109,0.3039368107785109,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0070921985815602,1.158972414245563,True,0.0263252050737156,0.0263252050737156
BCUTc-1h,0.2884022461808097,-0.015227638598346523,0.3036298847791562,0.3036298847791562,BCUT,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115,1.2707280227957427,True,-0.0663233931235072,0.0663233931235072
SP-6,0.28736827555866157,-0.015173044949497838,0.3025413205081594,0.3025413205081594,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545,1.491698093165243,True,-0.0659463527715412,0.0659463527715412
VP-1,0.2852418620483035,-0.0150607703161502,0.3003026323644537,0.3003026323644537,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0045592705167173,1.4383828912205494,True,0.0040172681873214,0.0040172681873214
SP-5,0.28259618145944,-0.014921078381058047,0.29751725984049804,0.29751725984049804,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0050658561296859,1.5484415669687273,True,0.0103815289541768,0.0103815289541768
ETA_Eta_F_L,0.28254783635971925,-0.014918525759793723,0.297466362119513,0.297466362119513,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0050658561296859,1.0926368907143542,True,-0.0132708483864254,0.0132708483864254
ATSc2,-0.2754713729105554,0.014544888489677365,-0.2900162614002328,0.2900162614002328,Autocorrelation (charge),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0035460992907801,1.0690742863249212,True,0.0198166528509721,0.0198166528509721
maxdO,0.27265789336427415,-0.014396336769633733,0.2870542301339079,0.2870542301339079,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.4680851063829787,1.6047476128447529,True,-0.045638008340381,0.045638008340381
nBondsS,0.27220214509564344,-0.014372273261049956,0.2865744183566934,0.2865744183566934,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0552178318135764,1.3908137656496735,True,-0.0102556163005626,0.0102556163005626
C1SP2,0.2699574369300971,-0.014253752669909105,0.2842111896000062,0.2842111896000062,Carbon types,integer_low_cardinality,block_Y_topological_connectivity_structure,True,False,0.4868287740628166,1.8014430772323016,True,-0.0524788140144844,0.0524788140144844
nBondsD,0.2695273712734167,-0.014231045203236104,0.2837584164766528,0.2837584164766528,Bond count,integer_low_cardinality,block_Y_topological_connectivity_structure,True,False,0.171225937183384,1.0095638029540794,True,0.0476326630476774,0.0476326630476774
mindO,0.2543283542311415,-0.013428537103404142,0.2677568913345456,0.2677568913345456,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.4680851063829787,1.6403575978681952,True,-0.1111755415298596,0.1111755415298596
VP-3,0.25189677104593516,-0.013300149511225596,0.26519692055716076,0.26519692055716076,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0030395136778115,1.4474398194919966,True,0.00645918373055,0.00645918373055
minsssN,-0.25034388447389727,0.01321815710022172,-0.263562041574119,0.263562041574119,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.5536980749746707,1.5717514824169978,True,0.0879031743794409,0.0879031743794409
BCUTc-1l,-0.2373464645843434,0.01253189333005204,-0.24987835791439542,0.24987835791439542,BCUT,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0065856129685916,1.3408093223756363,True,0.0380190206762961,0.0380190206762961
ETA_EtaP,0.23506360885500277,-0.012411358547543947,0.2474749674025467,0.2474749674025467,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0030395136778115,1.0290336979195311,True,0.0003243613986424,0.0003243613986424
SP-7,0.23443162351666424,-0.012377989721679887,0.24680961323834413,0.24680961323834413,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0050658561296859,1.5199438233434226,True,-0.1783873439230254,0.1783873439230254
maxHBint10,0.23382687477970585,-0.012346058988368396,0.24617293376807425,0.24617293376807425,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.502532928064843,1.296240803038751,True,0.0111835639768219,0.0111835639768219
nH,0.23225914899127112,-0.012263283066739131,0.24452243205801025,0.24452243205801025,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,0.0536980749746707,1.3360874999472532,True,-0.0131207766513022,0.0131207766513022
WTPT-2,-0.2318075184144426,0.012239436972283647,-0.24404695538672624,0.24404695538672624,Weighted path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545,1.09184570672739,True,0.0307054449984784,0.0307054449984784
VP-6,0.2306966944532784,-0.012180785467133099,0.2428774799204115,0.2428774799204115,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0030395136778115,1.2545059755910493,True,-0.0345966043025702,0.0345966043025702
bpol,0.22666579162541753,-0.011967953797821989,0.2386337454232395,0.2386337454232395,BPol,continuous_float_like,not_assigned,False,False,0.0136778115501519,1.261844543645333,True,-0.0403244452797719,0.0403244452797719
maxsssN,-0.22655430005565236,0.011962067042938573,-0.23851636709859092,0.23851636709859092,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.5536980749746707,1.528423928038852,True,0.0583800537843982,0.0583800537843982
VP-4,0.22629623289551862,-0.01194844109688322,0.23824467399240185,0.23824467399240185,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0030395136778115,1.426660492373055,True,0.0675244320169367,0.0675244320169367
maxHBd,0.22343102251809088,-0.011797157988955557,0.23522818050704644,0.23522818050704644,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0633232016210739,1.6642807608849437,True,0.1173908456482969,0.1173908456482969
SaaN,-0.214952105635581,0.01134947117755878,-0.22630157681313978,0.22630157681313978,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.7583586626139818,1.321411937162831,True,-0.114149347882995,0.114149347882995
VP-7,0.21311321675279468,-0.01125237784454755,0.22436559459734223,0.22436559459734223,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0030395136778115,1.192467425625832,True,-0.1141202570150301,0.1141202570150301
VP-5,0.20535507314087525,-0.010842747861838385,0.21619782100271365,0.21619782100271365,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0030395136778115,1.407780492845951,True,0.0545754521293723,0.0545754521293723
nwHBa,0.20336546038243447,-0.010737696308192577,0.21410315669062704,0.21410315669062704,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,0.1236068895643363,1.374213276871583,True,0.0404160475721229,0.0404160475721229
maxHsOH,0.20297910755486231,-0.010717296878896831,0.21369640443375915,0.21369640443375915,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.21580547112462,1.9797777886546688,True,0.1097539865264736,0.1097539865264736
maxsOH,0.20211488210972461,-0.010671665775393498,0.2127865478851181,0.2127865478851181,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.21580547112462,2.011757058257724,True,0.0658161889973714,0.0658161889973714
naaN,-0.19872878357211823,0.010492879772607738,-0.20922166334472597,0.20922166334472597,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.7583586626139818,1.3106090241732429,True,-0.1092900675317813,0.1092900675317813
