descriptor,coefficient_standardised_X,abs_coefficient_standardised_X
maxsOm,0.03220409267655827,0.03220409267655827
maxsF,0.0171826855773272,0.0171826855773272
maxsSH,-0.002119568123072477,0.002119568123072477
maxdS,0.044655705111338276,0.044655705111338276
maxsCl,0.03695493363699981,0.03695493363699981
maxsBr,-0.09463485737699386,0.09463485737699386
sumI,0.03667775939360316,0.03667775939360316
hmax,0.04795131834012383,0.04795131834012383
gmax,-0.04552599414098116,0.04552599414098116
hmin,-0.11684093405794024,0.11684093405794024
gmin,-0.11954361762229757,0.11954361762229757
LipoaffinityIndex,0.025105659609599127,0.025105659609599127
MAXDN,0.018380951099962826,0.018380951099962826
MAXDP,0.037502991716319184,0.037502991716319184
DELS,-0.026735533619038947,0.026735533619038947
MAXDN2,-0.08539837820194704,0.08539837820194704
MAXDP2,0.02001472024335446,0.02001472024335446
DELS2,0.0003847309791942077,0.0003847309791942077
ETA_Alpha,0.0024441743878191686,0.0024441743878191686
ETA_AlphaP,-0.0441639927624177,0.0441639927624177
ETA_dAlpha_A,-0.038731236824085316,0.038731236824085316
ETA_dAlpha_B,0.03573814372310223,0.03573814372310223
ETA_Epsilon_1,0.02420066892833876,0.02420066892833876
ETA_Epsilon_2,0.0318322867342742,0.0318322867342742
ETA_Epsilon_3,0.07006936000490288,0.07006936000490288
ETA_Epsilon_4,0.0008995475757348015,0.0008995475757348015
ETA_Epsilon_5,0.06682911992968824,0.06682911992968824
ETA_dEpsilon_A,0.020567619134878302,0.020567619134878302
ETA_dEpsilon_B,0.04626158140969916,0.04626158140969916
ETA_dEpsilon_C,0.004678842593711242,0.004678842593711242
ETA_dEpsilon_D,-0.0732616890068376,0.0732616890068376
ETA_Psi_1,-0.024903289895943016,0.024903289895943016
ETA_dPsi_A,0.023854548914268782,0.023854548914268782
ETA_dPsi_B,-0.0430449658964043,0.0430449658964043
ETA_Shape_P,0.026325205073715628,0.026325205073715628
ETA_Shape_Y,0.06741981377335729,0.06741981377335729
ETA_Shape_X,0.08368491297715547,0.08368491297715547
ETA_Beta,-0.012199065197602265,0.012199065197602265
ETA_BetaP,0.0033677424778174032,0.0033677424778174032
ETA_Beta_s,-0.013569718944523267,0.013569718944523267
ETA_BetaP_s,-0.099196305092659,0.099196305092659
ETA_Beta_ns,-0.008246479032355163,0.008246479032355163
ETA_BetaP_ns,0.019110826542982014,0.019110826542982014
ETA_dBeta,0.005519116057539811,0.005519116057539811
ETA_dBetaP,0.035243007129342724,0.035243007129342724
ETA_Beta_ns_d,-0.023005769474815682,0.023005769474815682
ETA_BetaP_ns_d,0.01425864688178825,0.01425864688178825
ETA_Eta,0.005868463271955476,0.005868463271955476
ETA_EtaP,0.00032436139864241813,0.00032436139864241813
ETA_Eta_R,-0.015741680313461598,0.015741680313461598
ETA_Eta_F,-0.03944094575754797,0.03944094575754797
ETA_EtaP_F,-0.035694337370628354,0.035694337370628354
ETA_Eta_L,0.01854438950003807,0.01854438950003807
ETA_EtaP_L,0.02005889037624983,0.02005889037624983
ETA_Eta_R_L,0.005973770414570935,0.005973770414570935
ETA_Eta_F_L,-0.013270848386425473,0.013270848386425473
ETA_EtaP_F_L,-0.01667632655572438,0.01667632655572438
ETA_Eta_B,0.03824549437394726,0.03824549437394726
ETA_EtaP_B,-0.026523626248865388,0.026523626248865388
ETA_Eta_B_RC,0.0241244420513839,0.0241244420513839
ETA_EtaP_B_RC,-0.022957859443841603,0.022957859443841603
FMF,0.07110545184491919,0.07110545184491919
fragC,-0.020805885652501886,0.020805885652501886
nHBAcc,-0.20224397992291535,0.20224397992291535
nHBAcc2,-0.0071836902599928055,0.0071836902599928055
nHBAcc3,0.0027962358554311614,0.0027962358554311614
nHBAcc_Lipinski,-0.0195786624218703,0.0195786624218703
nHBDon,0.02104680989280079,0.02104680989280079
nHBDon_Lipinski,0.018176373404743193,0.018176373404743193
HybRatio,-0.007253210053731142,0.007253210053731142
Kier1,0.008681536829812701,0.008681536829812701
Kier2,-0.01681635992641534,0.01681635992641534
Kier3,0.0008281406793678257,0.0008281406793678257
nAtomLC,0.03505905014761103,0.03505905014761103
nAtomP,-0.05615053188998377,0.05615053188998377
nAtomLAC,0.09895819103993944,0.09895819103993944
MLogP,0.026001567482435543,0.026001567482435543
McGowan_Volume,-0.0033147293090886962,0.0033147293090886962
MDEC-11,-0.12950437653280025,0.12950437653280025
MDEC-12,0.15565560614203378,0.15565560614203378
MDEC-13,0.01665929428153306,0.01665929428153306
MDEC-14,0.09114012560205975,0.09114012560205975
MDEC-22,0.04691143831373624,0.04691143831373624
MDEC-23,0.01726989496091024,0.01726989496091024
MDEC-24,-0.10159261141730934,0.10159261141730934
MDEC-33,-0.004415014367778285,0.004415014367778285
MDEC-34,-0.17304544841777933,0.17304544841777933
MDEC-44,0.024652132092820758,0.024652132092820758
MDEO-11,-0.06837261197133448,0.06837261197133448
MDEO-12,-0.13576587339271645,0.13576587339271645
MDEO-22,0.10286995016843345,0.10286995016843345
MDEN-11,-0.041892738435930534,0.041892738435930534
MDEN-12,0.10185927366531346,0.10185927366531346
MDEN-13,0.008564026424773483,0.008564026424773483
MDEN-22,0.1347694208935694,0.1347694208935694
MDEN-23,0.1567033577377443,0.1567033577377443
MDEN-33,0.019384421219060238,0.019384421219060238
MLFER_A,0.1464583023353383,0.1464583023353383
MLFER_BH,0.003178549238648231,0.003178549238648231
MLFER_BO,0.02249776145877324,0.02249776145877324
MLFER_S,0.05758175319436036,0.05758175319436036
MLFER_E,0.015357977341302129,0.015357977341302129
MLFER_L,-0.043600781057707094,0.043600781057707094
PetitjeanNumber,-0.03074657704489814,0.03074657704489814
nRing,-0.02926529496924355,0.02926529496924355
n3Ring,-0.0020625748741165515,0.0020625748741165515
n4Ring,-0.007152156427569764,0.007152156427569764
n5Ring,-0.027779324002761646,0.027779324002761646
n6Ring,-0.027802121724048973,0.027802121724048973
n7Ring,0.06023257050271797,0.06023257050271797
n8Ring,-0.006679329101892204,0.006679329101892204
n12Ring,0.01617734321879531,0.01617734321879531
nG12Ring,0.09183701647281337,0.09183701647281337
nFRing,0.0049793067917320265,0.0049793067917320265
nF6Ring,-0.029947035958510643,0.029947035958510643
nF7Ring,-0.022583212903067158,0.022583212903067158
nF8Ring,0.029845138087886452,0.029845138087886452
nF9Ring,0.08556760750954634,0.08556760750954634
nF10Ring,-0.013119038266618328,0.013119038266618328
