descriptor,VIP,VIP_ge_1,coefficient_standardised_X,abs_coefficient_standardised_X,descriptor_category,descriptor_numeric_type,candidate_super_block,is_near_constant,is_rare_binary_like,dominant_value_ratio
ETA_Eta_F_L,1.0926368907143542,True,-0.013270848386425473,0.013270848386425473,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0050658561296859
WTPT-2,1.09184570672739,True,0.03070544499847841,0.03070544499847841,Weighted path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,0.0055724417426545
fragC,1.0848140394775239,True,-0.020805885652501886,0.020805885652501886,Fragment complexity,continuous_float_like,not_assigned,False,False,0.011144883485309
ndsN,1.0835240309675047,True,-0.0175190562819351,0.0175190562819351,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.9371833839918946
MLFER_E,1.083236239855976,True,0.015357977341302129,0.015357977341302129,Molecular linear free energy relation,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0075987841945288
SaaO,1.0754780968820417,True,-0.04028178811814709,0.04028178811814709,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.8556231003039514
naaO,1.0732969916206638,True,0.008385709085105764,0.008385709085105764,Atom type electrotopological state,integer_low_cardinality,block_X_local_electronic_atom_environment,True,False,0.8556231003039514
ATSc2,1.0690742863249212,True,0.019816652850972154,0.019816652850972154,Autocorrelation (charge),continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.0035460992907801
maxaaO,1.068715774899676,True,0.0007477333447422894,0.0007477333447422894,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.8556231003039514
minaaO,1.0676676981041924,True,0.0015545432473901668,0.0015545432473901668,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.8556231003039514
maxssO,1.0607859550319756,True,-0.011252927438292572,0.011252927438292572,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.4731509625126646
SHBint10,1.0560327642407363,True,-0.11048311428862453,0.11048311428862453,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.5015197568389058
minHBint5,1.0542632704821688,True,0.04661183477181496,0.04661183477181496,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.6388044579533941
minssO,1.0469450209506521,True,-0.037090819836863714,0.037090819836863714,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,0.4731509625126646
