dataset_name,n_components,fold,rmse,mae,r2
primary_remove_constant_only,45,5,0.7977291229073488,0.6263837912210616,0.6838452765852668
primary_remove_constant_only,46,1,0.8868691028653206,0.6668324075987576,0.6117851173624262
primary_remove_constant_only,46,2,0.8974176646145656,0.6602305913459479,0.6100196553292945
primary_remove_constant_only,46,3,0.78893070122859,0.6072723878884704,0.6991031481966349
primary_remove_constant_only,46,4,0.8199695038144494,0.6419708668776382,0.6517421485505364
primary_remove_constant_only,46,5,0.7969238677133507,0.6253916042533126,0.6844832293245808
primary_remove_constant_only,47,1,0.8883993313459194,0.6665758253096143,0.6104442882148587
primary_remove_constant_only,47,2,0.9074294429793401,0.6618677755256408,0.6012697141055681
primary_remove_constant_only,47,3,0.791571779432336,0.6099728508853789,0.6970851704493123
primary_remove_constant_only,47,4,0.8230174259578732,0.6425856074112327,0.6491483067001649
primary_remove_constant_only,47,5,0.7976099338955435,0.6276102551346393,0.683939743122656
primary_remove_constant_only,48,1,0.888457632274092,0.6667782313534986,0.6103931575937813
primary_remove_constant_only,48,2,0.9297594836890812,0.6725334716410457,0.5814043364827559
primary_remove_constant_only,48,3,0.790095170596035,0.6088155294698632,0.6982142393175865
primary_remove_constant_only,48,4,0.8221529276031427,0.6427266182840056,0.6498849895530627
primary_remove_constant_only,48,5,0.796183086575694,0.6258798460553721,0.6850695343666993
primary_remove_constant_only,49,1,0.8891252031889314,0.666394818681202,0.609807450633125
primary_remove_constant_only,49,2,0.9384112315428667,0.6730476092626944,0.5735777226722724
primary_remove_constant_only,49,3,0.7912288931911379,0.6084226743435559,0.6973475416814919
primary_remove_constant_only,49,4,0.8203892934886962,0.642473903702229,0.6513854707175879
primary_remove_constant_only,49,5,0.7987226142171647,0.6263210020786956,0.6830573084659597
primary_remove_constant_only,50,1,0.8917910236467825,0.6667634042724764,0.607464152654155
primary_remove_constant_only,50,2,0.9602735815299897,0.6752864051292555,0.5534773916250417
primary_remove_constant_only,50,3,0.7902597085317441,0.607149774776592,0.6980885319893937
primary_remove_constant_only,50,4,0.8216449075103142,0.6435725609232182,0.6503175380518345
primary_remove_constant_only,50,5,0.8003109832293426,0.6255645641044655,0.6817954873967854
sensitivity_remove_constant_nonbinary_near_constant,1,1,1.167035509576646,0.9293952734311682,0.3277647657277527
sensitivity_remove_constant_nonbinary_near_constant,1,2,1.336883918426347,1.037393649505386,0.1345521779863159
sensitivity_remove_constant_nonbinary_near_constant,1,3,1.136239293062074,0.9282298251443022,0.3758635626381299
sensitivity_remove_constant_nonbinary_near_constant,1,4,1.1230394562417878,0.9219957430779577,0.34672574251696875
sensitivity_remove_constant_nonbinary_near_constant,1,5,1.1558076568628282,0.9380120784656069,0.3363181903385728
sensitivity_remove_constant_nonbinary_near_constant,2,1,1.0412003083278383,0.8015838740819851,0.4649163183595818
sensitivity_remove_constant_nonbinary_near_constant,2,2,1.0196857080926829,0.7920548965946251,0.49651544148382887
sensitivity_remove_constant_nonbinary_near_constant,2,3,0.9608442548328117,0.7728701929185922,0.5536804347324085
sensitivity_remove_constant_nonbinary_near_constant,2,4,0.9624973649991706,0.7567532471577615,0.5201509781353166
sensitivity_remove_constant_nonbinary_near_constant,2,5,1.0295890341576208,0.8209334137661091,0.47335665938414784
sensitivity_remove_constant_nonbinary_near_constant,3,1,0.9968913586194907,0.7885849625139912,0.5094889523819599
sensitivity_remove_constant_nonbinary_near_constant,3,2,0.9690289250202728,0.7674262973036318,0.5452978868810421
sensitivity_remove_constant_nonbinary_near_constant,3,3,0.8987699286521728,0.7226514686582637,0.6094856507846622
sensitivity_remove_constant_nonbinary_near_constant,3,4,0.8959385208728428,0.693080108850388,0.5842215897397915
sensitivity_remove_constant_nonbinary_near_constant,3,5,0.970404476615331,0.7735393132945341,0.5321632189297799
sensitivity_remove_constant_nonbinary_near_constant,4,1,0.9776829887332725,0.7683239425231221,0.5282094388985705
sensitivity_remove_constant_nonbinary_near_constant,4,2,0.9579609917628604,0.7129091219658362,0.5556254882112204
sensitivity_remove_constant_nonbinary_near_constant,4,3,0.8561608448127652,0.6764241733421601,0.6456351358929255
sensitivity_remove_constant_nonbinary_near_constant,4,4,0.8809156051810365,0.6784503935358215,0.5980480662614924
sensitivity_remove_constant_nonbinary_near_constant,4,5,0.9524646270788671,0.7524494932851876,0.5493011068287496
sensitivity_remove_constant_nonbinary_near_constant,5,1,0.9365212771182814,0.7315899830595034,0.567099160645475
sensitivity_remove_constant_nonbinary_near_constant,5,2,0.9597349578192641,0.7075145751176224,0.5539781660245715
sensitivity_remove_constant_nonbinary_near_constant,5,3,0.8524367604383868,0.6632710474859619,0.6487112272910296
sensitivity_remove_constant_nonbinary_near_constant,5,4,0.8979141202846497,0.6941840167977417,0.5823859342900826
sensitivity_remove_constant_nonbinary_near_constant,5,5,0.9221429606164915,0.7279478110916772,0.5775402956232045
sensitivity_remove_constant_nonbinary_near_constant,6,1,0.9286418149891909,0.7233140240262642,0.5743529763273449
sensitivity_remove_constant_nonbinary_near_constant,6,2,0.9179757928663956,0.6933998131359447,0.5919475883258649
sensitivity_remove_constant_nonbinary_near_constant,6,3,0.8431497003793192,0.6504762683446277,0.6563239169252143
sensitivity_remove_constant_nonbinary_near_constant,6,4,0.8820068530039957,0.6759101192741637,0.5970516011077842
sensitivity_remove_constant_nonbinary_near_constant,6,5,0.8913299759441351,0.6992685022139464,0.6053012010633088
