dataset_name,n_components,fold,rmse,mae,r2
block_Y_only,22,1,0.9366783112743381,0.7314267157112612,0.5669539724494906
block_Y_only,22,2,0.9236480856408689,0.7051601306146813,0.5868891895088069
block_Y_only,22,3,0.8695246476816011,0.6826345117189836,0.6344862456826114
block_Y_only,22,4,0.876570259989005,0.6663884020316351,0.6020037506973759
block_Y_only,22,5,0.8846740040159466,0.6830855931953022,0.6111739873433824
block_Y_only,23,1,0.9354605373027096,0.7315590040778244,0.5680792453839913
block_Y_only,23,2,0.9269586823812456,0.7086487807070678,0.5839224875367248
block_Y_only,23,3,0.8694911323604917,0.6808105894207643,0.6345144221691271
block_Y_only,23,4,0.8728815245765073,0.6636323026926073,0.6053463552330594
block_Y_only,23,5,0.8817878056955024,0.6809586614642263,0.6137068940992317
block_Y_only,24,1,0.9352625767842454,0.7306761483104781,0.5682620306669306
block_Y_only,24,2,0.9400450558682459,0.7123423629619567,0.5720915819241675
block_Y_only,24,3,0.8711130752594464,0.6848370471974672,0.6331496017239959
block_Y_only,24,4,0.871069747732471,0.6636126979282919,0.6069829628432041
block_Y_only,24,5,0.8788499753971527,0.679380748356181,0.616276612312552
block_Y_only,25,1,0.9352340378412602,0.7295645329320071,0.5682883786842856
block_Y_only,25,2,0.9512271807103121,0.7181654472229272,0.5618508293120466
block_Y_only,25,3,0.872795028766486,0.6836134112920615,0.6317315975390361
block_Y_only,25,4,0.8685202084298058,0.6616993797460546,0.6092802438299608
block_Y_only,25,5,0.8748345155410868,0.6784149780249602,0.6197750611728442
block_Y_only,26,1,0.9352216561654585,0.7272671906269309,0.568299809572673
block_Y_only,26,2,0.9653631577512571,0.7227297263866279,0.5487315911327576
block_Y_only,26,3,0.8733194427573546,0.684181420361522,0.6312889205866135
block_Y_only,26,4,0.8691142886039872,0.662306108484669,0.6087455452821346
block_Y_only,26,5,0.8719310515481126,0.675911306050019,0.6222947090212178
block_Y_only,27,1,0.9344184949626959,0.727737713081782,0.5690409728243364
block_Y_only,27,2,0.9846011209803939,0.7242826510028102,0.5305664307364232
block_Y_only,27,3,0.8766704584191551,0.6854455181642068,0.6284539279837805
block_Y_only,27,4,0.8691406727186326,0.6608569588066309,0.6087217899274875
block_Y_only,27,5,0.8720832495876811,0.6748953060848394,0.6221628384521121
block_Y_only,28,1,0.9378168370998634,0.7281302147819901,0.5659006039241776
block_Y_only,28,2,0.9995632259189868,0.7274932674063056,0.5161909019363375
block_Y_only,28,3,0.8784477969007781,0.6866409252200638,0.626945875496079
block_Y_only,28,4,0.8629517296702555,0.6537558479662023,0.6142743473479502
block_Y_only,28,5,0.8689972153855646,0.6721877445118316,0.6248322058864646
block_Y_only,29,1,0.9356667143125389,0.7297492426851402,0.5678888323419977
block_Y_only,29,2,1.0032957295255733,0.7277861783053853,0.5125709392516864
block_Y_only,29,3,0.8773071010880904,0.685640552800142,0.6279140946411674
block_Y_only,29,4,0.8682669964013097,0.6567868508810086,0.60950803477626
block_Y_only,29,5,0.8696923101001034,0.6728365461769175,0.6242317863649021
block_Y_only,30,1,0.9369656951794818,0.7299902390306575,0.566688204472508
block_Y_only,30,2,1.0026607199002906,0.7279193485355282,0.5131877547810744
block_Y_only,30,3,0.874296560807498,0.683350758926742,0.6304633903608934
block_Y_only,30,4,0.872864543350962,0.6608306814651133,0.6053617104380378
block_Y_only,30,5,0.868697777891658,0.6718401445396643,0.6250907106255772
block_X_plus_block_Y,1,1,1.123788910474127,0.882800930048532,0.37666341861508423
block_X_plus_block_Y,1,2,1.1924154915399026,0.9551624067014294,0.31149244469373605
block_X_plus_block_Y,1,3,1.0789047776661156,0.8764143491884459,0.4372621039769754
block_X_plus_block_Y,1,4,1.0701263490516435,0.8730799139891166,0.40683484543688864
block_X_plus_block_Y,1,5,1.1194366084400982,0.8991994580288438,0.37743057126690793
block_X_plus_block_Y,2,1,1.034222701600397,0.79695466356738,0.47206401720282865
