feature,importance_mean,importance_sd
maxsssCH,0.002482648530017853,0.00028000417462384147
minHBint6,0.0024757192222013753,0.0002643689364581186
nHBint7,0.0024723570531478443,0.00017167518949835783
nAtomP,0.0024372535462799773,0.00029027322020076926
ETA_Shape_P,0.0024275561084631135,0.00016330071352893273
minaasC,0.002371640170559594,0.00023736792527202715
ATSm1,0.0023192880260774706,0.00018570823676645578
SP-6,0.0023004974088928513,0.00023167522201892875
ETA_EtaP_L,0.002297269354148426,0.00023589940868421432
ETA_Epsilon_5,0.002256487311148289,0.0001702404808406159
MLogP,0.0022319259448190546,0.0002730545123765318
SP-4,0.0022025216603640515,0.0002677881830334375
MLFER_E,0.002202062318211151,0.00016700209253632403
ETA_dAlpha_B,0.0021628345559413648,8.441697769070803e-05
SdsCH,0.002161992766979648,0.0003046196113602631
SHBint3,0.002157140087634507,0.00042108966652652357
SP-7,0.0021512944082528627,0.00025380256481494446
SHaaCH,0.002118503247038031,0.00020494458930855295
DELS2,0.0021133179158105532,0.00019205311527420107
ATSp4,0.002090095527478841,0.0002060566672668879
ETA_dEpsilon_D,0.0020599535354763306,0.0003058612448354132
VP-0,0.0020255639812430367,0.00037435908822694414
MAXDP2,0.002013774632278692,0.00014856507929416555
minsF,0.002005343375054211,0.0002850916022747407
sumI,0.0019865082748256437,0.00027707775685017707
ETA_Eta_F,0.001977183103801275,0.00016113815801269273
MDEC-34,0.001949251561618842,0.0003053198866412145
MLFER_L,0.0019460946186285993,0.00018490947762581826
SdsN,0.0019365032811618527,0.00032890120392721625
ETA_Eta_L,0.0018682235135747682,0.0003387293782094655
maxHBint7,0.0018642632619576965,0.0003113455064545385
VP-1,0.0018430109944348489,0.0001915244940070071
MLFER_BO,0.0018073040954489222,0.0003007048509032482
MDEN-23,0.0017909040150922624,0.0002308387255997512
ETA_dBetaP,0.0017771313847017856,0.0002601610326902539
mindsCH,0.0017458438453747172,0.0002642749400106978
VP-7,0.001745351878739232,0.0002427786850213694
MAXDN2,0.0017400559111044017,0.0002880740516433415
MDEC-14,0.0017290754440169697,0.0002799085162068544
ETA_dBeta,0.0017279604329822728,0.00016091750451083478
minHaaCH,0.0017211510321767764,0.00019347391471374263
nHBAcc_Lipinski,0.0017018938209160477,0.00019753933112560807
SaaaC,0.0016672932563545017,0.00011943936511346311
maxHCsatu,0.001659510222160035,0.00026241254971208944
maxsCl,0.001653634776527066,0.00019273916784704953
nBondsM,0.0016528469225001508,0.0002628853589260128
maxaaN,0.0016481268833567543,0.0001973485701402203
VP-2,0.0016412398206701122,0.00016292091879502288
ATSp5,0.0016384048422892843,0.00023892701905247813
nH,0.001633641352605894,0.0004185550646491231
ATSp2,0.0016179693123919369,0.00016273174455116177
nHCsats,0.0015930498474780342,0.00020624034820199987
nAromBond,0.0015871642569769474,0.00017578243143718413
minssNH,0.0015545129591619995,0.0001330288405699019
maxHBint6,0.001538875287498992,0.00023485024474496596
SaaNH,0.0014834681907541114,0.00016957302653223267
VABC,0.00146176730668508,0.00014305998975226302
ETA_Eta,0.0014599654944330714,0.00014886249488428455
ETA_Psi_1,0.001454967585730671,0.0001715172441777271
SHCsatu,0.0014504542602092386,0.0001465122744144263
minsBr,0.0014210330170768253,0.000294543255221248
minaaCH,0.00141328545437209,0.00017198805918236147
nBondsS3,0.0014019224238642186,0.00017144336972417347
ETA_BetaP_ns_d,0.0013877946181776236,0.0002666310306257218
SaaN,0.0013669846493220227,0.0002094390559787616
MDEO-22,0.0013635273656521368,0.000235846815467752
ATSp3,0.0013219546331632776,0.00025245471399196494
maxdsCH,0.001321099724871541,0.0002556352115327854
WTPT-1,0.001295734255385561,0.000162864913064728
nBondsD,0.0012799798815866987,0.00030991514398130655
ETA_Epsilon_4,0.0012726068524311295,0.0001485616173889585
ETA_dEpsilon_A,0.001248393750243776,0.0002471420284489655
nBondsS2,0.0012449470041974331,0.0001283053812624785
nHBint3,0.0012248187571356982,0.0001567011919422988
nHBint10,0.0012094377787183086,0.00019485166292788274
