component,descriptor_category,sum_squared_weight,n_descriptors,component_total_squared_weight,prop_component_squared_weight,mean_squared_weight
PC3,BPol,4.967201514717045e-07,1,0.9999999999999989,4.96720151471705e-07,4.967201514717045e-07
PC4,Chi cluster,0.058109737589291936,8,1.0000000000000002,0.05810973758929192,0.007263717198661492
PC4,Chi path cluster,0.039578311043789456,6,1.0000000000000002,0.03957831104378945,0.006596385173964909
PC4,BCUT,0.02234762692627574,6,1.0000000000000002,0.022347626926275736,0.003724604487712623
PC4,Acidic group count,0.00295598298978312,1,1.0000000000000002,0.002955982989783119,0.00295598298978312
PC4,Basic group count,0.002929347504616948,1,1.0000000000000002,0.0029293475046169477,0.002929347504616948
PC4,Weighted path,0.014630946913596777,5,1.0000000000000002,0.014630946913596773,0.0029261893827193554
PC4,Rotatable bonds count,0.0025305483496895144,1,1.0000000000000002,0.002530548349689514,0.0025305483496895144
PC4,Atom count,0.03243303630830549,13,1.0000000000000002,0.032433036308305484,0.00249484894679273
PC4,Molecular distance edge,0.046060732024778096,19,1.0000000000000002,0.04606073202477809,0.002424249053935689
PC4,Extended topochemical atom,0.10289459788770508,43,1.0000000000000002,0.10289459788770505,0.002392897625295467
PC4,Atom type electrotopological state,0.5726696391529618,270,1.0000000000000002,0.5726696391529617,0.002120998663529488
PC4,Molecular linear free energy relation,0.0125941960183124,6,1.0000000000000002,0.012594196018312397,0.0020990326697187334
PC4,Autocorrelation (charge),0.007448745068496502,5,1.0000000000000002,0.007448745068496501,0.0014897490136993004
PC4,Carbon types,0.012244088666467732,9,1.0000000000000002,0.012244088666467728,0.0013604542962741923
PC4,Wiener numbers,0.002612443882684233,2,1.0000000000000002,0.0026124438826842324,0.0013062219413421164
PC4,Aromatic bonds count,0.001225629231012796,1,1.0000000000000002,0.0012256292310127957,0.001225629231012796
PC4,Fragment complexity,0.0011784987146922514,1,1.0000000000000002,0.0011784987146922512,0.0011784987146922514
PC4,Kappa shape indices,0.003407333741819331,3,1.0000000000000002,0.00340733374181933,0.001135777913939777
PC4,Hbond acceptor count,0.004228758392255953,4,1.0000000000000002,0.0042287583922559525,0.0010571895980639884
PC4,Largest chain,0.0010494543978289566,1,1.0000000000000002,0.0010494543978289564,0.0010494543978289566
PC4,ALOGP,0.0030999458891153454,3,1.0000000000000002,0.0030999458891153445,0.0010333152963717819
PC4,RingCountDescriptor,0.010192675966982095,11,1.0000000000000002,0.010192675966982093,0.0009266069060892814
PC4,FMFDescriptor,0.0009219822265998644,1,1.0000000000000002,0.0009219822265998642,0.0009219822265998644
PC4,Autocorrelation (polarizability),0.004384444525974035,5,1.0000000000000002,0.004384444525974034,0.000876888905194807
PC4,Aromatic atoms count,0.00086889508560491,1,1.0000000000000002,0.0008688950856049098,0.00086889508560491
